Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
NRILY,"Nomura Research Institute, Ltd.",39.01,0,0.0061,"275,198","4,957",23.048B,43.88,
RNG,"RingCentral, Inc.",250.81,-5,-1.84%,"769,441","972,753",22.952B,N/A,
GIB,CGI Inc.,92.02,-1,-0.98%,"147,694","128,225",22.569B,23.2,
NEXXY,Nexi S.p.A.,20.61,0,-0.87%,854,"3,396",21.791B,80.51,
FLT,"FLEETCOR Technologies, Inc.",261.92,-1,-0.24%,"339,719","751,846",21.636B,28.85,
DT,"Dynatrace, Inc.",70.93,2,0.024,1.417M,1.401M,20.164B,272.81,
DLO,DLocal Limited,67.97,-1,-0.83%,1.76M,1.105M,19.91B,12.68,
TYL,"Tyler Technologies, Inc.",488.1,1.64,0.34%,"94,575","186,976",19.936B,131.07,
YMM,Full Truck Alliance Co. Ltd.,18.31,0,0.72%,5.513M,4.75M,19.882B,N/A,
BR,"Broadridge Financial Solutions, Inc.",170.75,0,-0.16%,"329,793","429,151",19.836B,36.72,
COUP,Coupa Software Incorporated,261.91,6,0.0228,1.648M,1.23M,19.257B,N/A,
PAGS,PagSeguro Digital Ltd.,58.47,-1,-1.12%,1.222M,1.681M,19.228B,84.62,
BSY,"Bentley Systems, Incorporated",67.18,0.82,1.24%,"790,276",1.562M,18.923B,130.7,
SSNC,"SS&C Technologies Holdings, Inc.",74,-0.76,-1.02%,"957,772","958,017",18.889B,27.42,
NICE,NICE Ltd.,295.2,0.66,0.0022,"95,782","275,329",18.633B,96.79,
AKAM,"Akamai Technologies, Inc.",113.8,1,0.0076,"910,724",1.102M,18.53B,32.42,
S,"SentinelOne, Inc.",69.04,4,0.0658,1.374M,2.225M,17.7B,N/A,
CDAY,Ceridian HCM Holding Inc.,115.96,2,0.0166,"602,591","768,814",17.378B,N/A,
NUAN,"Nuance Communications, Inc.",55.21,0.03,0.05%,1.947M,4.05M,17.365B,N/A,
LSPD,Lightspeed Commerce Inc.,119.97,1.36,1.15%,1.146M,"883,551",17.107B,N/A,
NUVCF,Nuvei Corporation,123.01,2.1,0.0173,"1,412","2,684",17.015B,"2,277.94",
ASAN,"Asana, Inc.",93.85,4.69,0.0526,4.674M,2.406M,16.953B,N/A,
CLVT,Clarivate Plc,26.26,-0.15,-0.57%,1.788M,5.459M,16.845B,N/A,
XROLF,Xero Limited,$111.74,0,0,26,329,16.698B,N/A,
MNDY,monday.com Ltd.,379.81,-16,-4.11%,"189,055","190,504",16.605B,N/A,
CHKP,Check Point Software Technologies Ltd.,124.36,-1,-0.73%,"603,210","902,598",16.515B,20.33,
AVLR,"Avalara, Inc.",189.78,1.35,0.72%,"439,806","634,496",16.381B,N/A,
LYFT,"Lyft, Inc.",48.21,-1,-2.21%,3.751M,5.114M,16.164B,N/A,
NLOK,NortonLifeLock Inc.,27.28,0.13,0.0048,3.173M,4.727M,15.857B,26.11,
ESTC,Elastic N.V.,171.49,8,4.75%,1.462M,"699,839",15.742B,N/A,
PTC,PTC Inc.,132.99,1.15,0.87%,"354,929","573,323",15.611B,66.2,
CFLT,"Confluent, Inc.",59.01,5,0.0831,1.481M,1.455M,15.367B,N/A,
ZEN,"Zendesk, Inc.",125.08,2,0.0141,1.298M,1.144M,15.012B,N/A,
OTEX,Open Text Corporation,54.84,0,-0.18%,"169,789","363,578",14.903B,48.11,
PCTY,Paylocity Holding Corporation,272.18,0,-0.12%,"134,100","193,207",14.861B,216.02,
MQ,"Marqeta, Inc.",26.96,-1,-3.20%,2.064M,2.081M,14.542B,N/A,
WPLCF,Wise plc,14.24,0,1.06%,"516,242","447,709",14.163B,6.51,
LDOS,"Leidos Holdings, Inc.",99.02,0,-0.14%,"599,748","683,112",14.018B,19.34,
STNE,StoneCo Ltd.,44.63,0.02,0.0004,4.765M,2.925M,13.787B,57.14,
GLOB,Globant S.A.,331.11,7,0.021,"224,965","252,032",13.64B,186.44,
FICO,Fair Isaac Corporation,467.23,-4.74,-1.00%,"143,937","219,203",13.263B,37.84,
PCOR,"Procore Technologies, Inc.",102.05,4,0.0386,"662,193","287,929",13.382B,N/A,
WIX,Wix.com Ltd.,233.72,6,2.58%,"484,323","760,584",13.184B,N/A,
JKHY,"Jack Henry & Associates, Inc.",175.74,-0.49,-0.28%,"307,202","402,945",13.007B,42.66,
DBX,"Dropbox, Inc.",32.39,0,0.0081,5.549M,4.215M,12.906B,N/A,
CTXS,"Citrix Systems, Inc.",102.75,-1,-1.08%,1.235M,1.444M,12.765B,35.59,
GDDY,GoDaddy Inc.,$74.96,0,-0.21%,"821,831",1.157M,12.684B,66.57,
FFIV,"F5 Networks, Inc.",$203.61,0.24,0.12%,"447,897","460,484",12.28B,42.42,
SNX,TD SYNNEX,127.65,-1,-0.79%,"105,363","224,196",12.252B,12.54,
MCFE,McAfee Corp.,27.72,0.17,0.0062,"460,015","915,434",12.04B,N/A,
BKI,"Black Knight, Inc.",75.89,0,-0.41%,"509,158","766,400",11.887B,44.15,
GDS,GDS Holdings Limited,63,1,0.0165,"799,750",2.11M,11.775B,N/A,
WIGBY,WiseTech Global Limited,34.13,0,0.00%,200,25,11.738B,139.31,
PEGA,Pegasystems Inc.,142.39,1,0.0098,"141,448","244,031",11.598B,749.42,
FIVN,"Five9, Inc.",170.19,4,0.0229,2.648M,1.544M,11.522B,N/A,
TMSNY,Temenos AG,152.76,-5,-3.34%,"5,442","8,065",11.387B,56.45,
SGPYY,The Sage Group plc,42.78,0,0.40%,"5,202","11,659",11.267B,36.88,
BMBL,Bumble Inc.,59.94,2,0.0383,1.408M,1.705M,11.065B,525.79,
