Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
WDAY,"Workday, Inc.",268.43,-2,-0.61%,1.052M,1.582M,66.571B,N/A,
ADDYY,adidas AG,164.84,-5,-3.09%,"59,978","48,531",66.204B,33.2,
ADDDF,adidas AG,$330.36,-16,-4.74%,673,290,66.204B,33.27,
AMOVF,"América Móvil, S.A.B. de C.V.",1,0,2.04%,200,44,66.098B,13.16,
AXAHY,AXA SA,27.66,0,0.56%,"70,681","109,638",66.035B,10.15,
AXAHF,AXA SA,26.95,0,0.08%,"1,398","3,550",65.887B,9.89,
BMO,Bank of Montreal,101.5,0,0.07%,"391,176","709,487",65.782B,11.99,
WEBNF,Westpac Banking Corporation,18.3,0,0.00%,40,314,67.532B,20.79,
WBK,Westpac Banking Corporation,18.39,0,-0.22%,"46,316","98,155",67.532B,20.9,
WM,"Waste Management, Inc.",154.19,0.69,0.45%,1.24M,1.29M,64.929B,40.9,
ADSK,"Autodesk, Inc.",294.67,3,0.0086,1.068M,1.326M,64.783B,49.79,
CL,Colgate-Palmolive Company,76.63,0,-0.05%,2.214M,3.726M,64.638B,23.95,
AMXVF,"América Móvil, S.A.B. de C.V.",$0.98,0.045,4.84%,118,"132,507",64.445B,12.83,
CHGCY,"Chugai Pharmaceutical Co., Ltd.",19.33,0.38,1.98%,"31,669","55,888",64.418B,30.53,
WXXWY,WuXi Biologics (Cayman) Inc.,30.01,-0.83,-2.69%,"47,908","157,316",64.121B,151.57,
WXIBF,WuXi Biologics (Cayman) Inc.,15.07,0,-1.57%,900,"7,154",64.121B,152.22,
ECL,Ecolab Inc.,223.77,0,-0.06%,"691,150","906,990",64.018B,61.42,
ZFSVF,Zurich Insurance Group AG,429,-2,-0.42%,91,274,63.705B,13.3,
BSX,Boston Scientific Corporation,44.7,0,-0.67%,4.333M,6.45M,63.646B,121.14,
BMWYY,Bayerische Motoren Werke Aktiengesellschaft,31.94,0,-0.03%,"35,816","42,444",63.274B,4.89,
GWLLY,Great Wall Motor Company Limited,38,0.8,2.15%,208,971,63.222B,29.01,
GWLLF,Great Wall Motor Company Limited,3.74,0.08,2.19%,"2,232","11,017",63.222B,28.55,
CUAEF,China Shenhua Energy Company Limited,2.175,0,0.00%,"1,843","21,268",63.07B,6.67,
CSUAY,China Shenhua Energy Company Limited,8.59,0,-4.24%,"26,871","41,095",63.07B,6.59,
SAN,"Banco Santander, S.A.",3.64,0,0.28%,1.699M,4.028M,63.018B,10.96,
BCDRF,"Banco Santander, S.A.",3.5,0,-2.51%,"1,106","58,604",62.985B,10.54,
DSDVF,DSV A/S,264.22,-2,-0.70%,145,"1,249",62.836B,51.83,
ETN,Eaton Corporation plc,156.01,-2,-1.26%,1.046M,1.614M,62.214B,33.22,
SPG-PJ,"Simon Property Group, Inc.",73.57,0,0.16%,586,"1,525",62.201B,15.9,
HOCPY,HOYA Corporation,168.35,-1.06,-0.63%,"13,514","16,528",62.107B,49.33,
HOCPF,HOYA Corporation,168.92,3,1.86%,"1,523",450,62.107B,49.49,
WMMVY,"Wal-Mart de México, S.A.B. de C.V.",35.54,-1,-1.58%,"104,626","90,587",62.093B,29.87,
WMMVF,"Wal-Mart de México, S.A.B. de C.V.",3.51,0,-3.72%,"7,953","32,876",62.093B,29.5,
BAMXF,Bayerische Motoren Werke Aktiengesellschaft,95.88,0,0.00%,257,406,61.887B,4.88,
ZURVY,Zurich Insurance Group AG,41.67,-0.39,-0.93%,"48,653","97,711",61.886B,12.92,
STLA,Stellantis N.V.,19.72,-0.03,-0.15%,2.251M,2.546M,61.774B,4.14,
CFRUY,Compagnie Financière Richemont SA,10.82,-0.05,-0.46%,"204,938","256,355",61.441B,40.15,
CFRHF,Compagnie Financière Richemont SA,108.17,2,0.0174,"1,488","1,796",61.441B,40.14,
DSDVY,DSV A/S,128.23,-4,-3.15%,"23,591","25,614",61.255B,50.31,
HEINY,Heineken N.V.,53.09,-1,-1.14%,"43,448","25,736",61.132B,46.21,
LUKOY,PJSC LUKOIL,93.67,0.52,0.56%,"24,142","54,482",61.12B,11.05,
VMW,"VMware, Inc.",145.56,3.4,2.39%,1.228M,1.153M,60.954B,29.89,
TWLO,Twilio Inc.,343.21,-5.78,-1.66%,1.211M,1.343M,60.8B,N/A,
COIN,"Coinbase Global, Inc.",231.82,-5.68,-2.39%,3.7M,4.034M,60.714B,17.07,
NSC,Norfolk Southern Corporation,245.07,2.9,1.20%,1.178M,1.247M,60.525B,22.75,
D,"Dominion Energy, Inc.",$74.58,0.32,0.0043,3.087M,3.142M,60.297B,26.98,
FDX,FedEx Corporation,226.64,-2,-1.00%,4.973M,2.487M,60.207B,12.03,
DOGEF,Ørsted A/S,143.04,-4,-2.72%,567,"3,176",60.104B,20.6,
VCISY,VINCI SA,26.12,-0.02,-0.08%,"43,565","68,165",60.103B,23.01,
VCISF,VINCI SA,104.74,0,0.00%,21,353,60.103B,23.07,
DNNGY,Ørsted A/S,47.36,-0.78,-1.63%,"35,780","65,874",59.993B,20.48,
LZAGF,Lonza Group Ltd,805.7,-21,-2.52%,1,161,59.85B,78.24,
PDRDF,Pernod Ricard SA,229.07,0.24,0.10%,452,411,59.767B,39.1,
CRWD,"CrowdStrike Holdings, Inc.",261.75,-1,-0.21%,2.039M,3.462M,59.73B,N/A,
GLNCY,Glencore plc,8.99,0,0.11%,"198,832","321,315",59.722B,29.97,
GLCNF,Glencore plc,4.45,0,-1.44%,"64,024","54,577",59.57B,29.67,
LZAGY,Lonza Group Ltd,80.19,-2,-2.29%,"27,577","47,825",59.568B,77.87,
UBS,UBS Group AG,15.87,0,0.51%,1.987M,1.944M,55.337B,7.73,
DCUE,"Dominion Energy, Inc.",98.57,0,0.12%,"11,629","43,555",59.395B,35.66,
AMX,"América Móvil, S.A.B. de C.V.",17.93,-0.22,-1.21%,2.528M,2.238M,59.256B,11.8,
AMOV,"América Móvil, S.A.B. de C.V.",17.91,0,-1.27%,931,"6,000",59.19B,11.78,
PPWLM,PacifiCorp,165,0,0.00%,3,92,58.915B,74.46,
MRAAF,"Murata Manufacturing Co., Ltd.",91.25,0,0.0001,"1,468","1,588",58.836B,23.53,
MRAAY,"Murata Manufacturing Co., Ltd.",22.78,0,-0.42%,"44,174","141,869",58.836B,23.5,
